account_id,company_domain,region,tier,num_seats,num_viewer_seats,num_editor_seats,num_active_seats_l90d,num_active_viewer_seats_l90d,num_active_editor_seats_l90d,num_projects_l90d,total_tasks_completed_l90d,days_since_last_login_l180d,days_since_last_login_missing_l180d,renewed_within_90d
1,acme-analytics.example,NA,pro,42,12,30,31,8,23,87,214,4,0,1
2,northstar-labs.example,EU,basic,18,14,4,9,7,2,22,58,18,0,0
3,bluefin-education.example,NA,pro,65,20,45,47,13,34,144,512,2,0,1
4,copperfield-hr.example,EU,basic,11,9,2,4,3,1,8,16,61,0,0
5,atlas-workshops.example,APAC,enterprise,230,40,190,188,31,157,502,3100,1,0,1
6,greenhouse-ops.example,NA,pro,73,28,45,49,18,31,120,740,7,0,1
7,summit-school.example,EU,basic,24,20,4,11,9,2,35,91,14,0,0
8,brightpath-care.example,NA,pro,56,22,34,39,16,23,96,355,5,0,1
9,ironwood-sales.example,EU,enterprise,142,25,117,101,18,83,380,1850,3,0,1
10,quiet-river.example,APAC,basic,9,8,1,2,2,0,3,5,,1,0
11,orbital-design.example,NA,pro,39,11,28,24,6,18,61,210,9,0,0
12,cedar-finance.example,EU,enterprise,188,35,153,122,21,101,410,2260,6,0,1
13,horizon-civic.example,NA,basic,16,13,3,8,6,2,14,42,23,0,0
14,redwood-health.example,APAC,pro,81,30,51,60,21,39,190,820,4,0,1
15,marble-media.example,EU,basic,31,25,6,12,9,3,26,77,30,0,0
16,lantern-learning.example,NA,pro,68,18,50,51,11,40,170,690,2,0,1
17,silverline-partners.example,EU,enterprise,121,19,102,88,12,76,300,1600,8,0,1
18,cascade-legal.example,NA,basic,14,11,3,5,4,1,10,24,,1,0
19,anchor-energy.example,APAC,enterprise,260,55,205,204,42,162,610,4200,1,0,1
20,plum-people.example,EU,pro,44,17,27,28,10,18,75,260,12,0,0
21,oakridge-retail.example,NA,basic,22,18,4,10,8,2,18,49,44,0,0
22,signal-works.example,EU,pro,77,29,48,54,20,34,156,580,7,0,1
23,harbor-training.example,APAC,basic,19,15,4,6,5,1,12,30,,1,0
24,pioneer-insights.example,NA,enterprise,166,32,134,119,23,96,350,1900,3,0,1
25,golden-grove.example,EU,pro,53,20,33,35,13,22,101,390,10,0,0
26,lunar-product.example,NA,basic,27,23,4,13,11,2,27,72,26,0,0
27,meadow-culture.example,APAC,pro,61,24,37,43,17,26,116,450,6,0,1
28,stonebridge-ai.example,EU,enterprise,210,41,169,162,32,130,470,2800,2,0,1
29,clearwater-nonprofit.example,NA,basic,12,10,2,3,3,0,5,11,,1,0
30,nova-research.example,EU,pro,89,33,56,64,24,40,202,930,5,0,1
